geo,href,listing
birmingham,https://bham.craigslist.org/cto/d/1975-bmw-2002-project-car/6488195920.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
birmingham,https://bham.craigslist.org/cto/d/635-csi-bmwspd/6487665052.html,"635 CSI. BMW. 1982 For Sale. $2,900.\n\nNicer Rust Free Southern car\n3.5 big block 6 cylinder, 5-speed, posi, A/C\nBeautiful Black Leather interior, great condition\nPerfect glass, straight body ( one very small dent at right rear upper corner, next to trunk lid )\nStock BMW 15"". wheels ( not the stars shown in fotos)\nRegistered as a ""Vintage Vehicle"" in Alamama\nIn the same family over 12 years, regular service, BMW Club member\n183k miles\nBeautiful Highway Cruiser, smooth, gobs of Torque....\n\nGREAT. SHAPE. for a 36 year old car !!!!!!!!!!!\nDrive it ANYWHERE !!!!!!!\n\nPerfect engine, Trans 5 speed and posi traction rear end!!! Uses NO OIL, Leaks NO OIL !!!\nXxxxxxxxxxxxxxxxxxxxxxxx\nO\nCons:\nNeeds ignition ""Key and Cylinder"" .. Starts / Runs / Drives great\nNeeds work on blinkers and tail lights\n\nXxxxxxxxxxxxxxxxxxxxxxxxxxxxxx\n\nEscalating in Value rapidly with the Collectible Car Boom\nSee Comps. in Foto\nCheck out National prices on Auto Trader"
birmingham,https://bham.craigslist.org/cto/d/1957-bmw-isetta-300-microcar/6487411758.html,"1957 BMW Isetta 300 microcar. Good restorable car, almost complete except for engine. Comes with a box full of engine parts but not enough to build a complete engine. Parts and knowledge are available right here in the US. This little car will get more attention than any high dollar muscle car or exotic.\nPrice is just $4,500.00 firm!\nSold on bill of sale only. In Alabama, cars built before 1975 do not use titles."
birmingham,https://bham.craigslist.org/cto/d/1986-bmw-325e-e30/6478560737.html,"I have a 1986 BMW 325e for sale. The car is currently in a tear down stage to reseal the engine and transmission as well as replace a damaged wiring harness which means the car is not in a drivable state and you will need to bring a trailer.\n\nIf you plan to finish the rebuild you will need a full exhaust, flywheel, clutch, radiator, and all necessary mounting hardware as I do not have those parts in a reusable condition. Everything else needed is there if you so choose to purchase the car and all of the parts I currently have.\n\nI purchased the car from a gentleman in Georgia but I have not changed the title to an Alabama title nor have I registered the car in Alabama. I do have the Georgia title and the bill of sale where I purchased the vehicle so everything can be signed to your name and registered in the state of your choosing with relative ease.\n\nIf you would like to have just the rolling chassis without any of the drivetrain from the transmission forward just let me know and we can work out a better price. The wheels that are currently on the car do not fit quite as they should so you will need to use some 5-10mm spacers for them to fit without rubbing.\n\nThis is a 30+ year old car that is in need of some love so come expecting that. Just a heads up. If you have questions send me a text and I will do my best to provide you with answers."
birmingham,https://bham.craigslist.org/cto/d/1987-bmw-325i-convertible/6466995144.html,"I have a 1987 BMW 325i Convertible. This car has been restored with a new canvas top, new paint, new brakes, etc. It comes with an extra parts car that has a clean title as well. I have tons of parts that I have collected over the years and pieced these cars together for a while now. I will only sell it with all the extra parts and the extra car. I'm asking 6500 obo there are more than 2k dollars in parts plus the two cars so it's worth what I'm asking. If you have questions just ask.\n\nI do not need help selling this vehicle.\n\n\nKeywords: BMW, M3, Mercedes, Mustang, Subaru, bmw, infinity, G35, Audi, Porche"
birmingham,https://huntsville.craigslist.org/cto/d/1975-bmw-2002/6480918035.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
birmingham,https://huntsville.craigslist.org/cto/d/1973-bmw-bavaria-30s/6472905992.html,"Having to get rid of my 1973 Bavaria\nUnlike many of the other older BMW models, the Bavaria is something you may never have the opportunity to see again.\nThere were approximately 8000, in the year and few have left to survive such a long life.\nBeing an earlier iteration of the car, BMW resolved many of the prior issues with the cars design, but it maintains the more pleasant European style bumpers.\n\nWhat makes this car particularly special is its limited color combination.\nExterior is Polaris Silver with Cardinal Red leather interior.\nAfter scouring the internet, there are very few Polaris silver cars, and with the red leather it makes the car one of a kind.\n\nThe car is in decent condition, minimal surface rust throughout the car.\nExterior 7/10\nInterior 6/10\nAll the electronics work, wipers, signals, and both headlight functions\nThe interior is worn, primarily the front seats.\nIt has a four speed manual which shifts well and the clutch holds up fine.\n\nOnly major issue is the head is cracked, which is very common for these cars.\nIt would not take much to rebuild a more modern M30 cylinder head to resolve this and any future concerns.\nI have extra fenders, and another set of front seats in blue leather.\nPretty firm on the price, though I am moderately interested in trades for running and reliable cars.\nText for pictures and any other questions."
birmingham,https://huntsville.craigslist.org/cto/d/bmw-325i-e30-parts/6439857050.html,"E30 parts for sale. Make an offer.\n\nIncluded:\n\n3 engine blocks\n2 ""I"" blocks, one is fully machined and ready to assemble, the other is untouched.\n1 ""e"" block, untouched and in great shape needs one freeze plug.\nWill include engine stand.\n2 ""I"" heads\nOne is fully machined and ready to install.\nThe other is completely disassembled and is cracked, but can be repaired.\nAll accessories associated with those blocks and heads.\n4.10 LSD Diff medium case ready to install.\n2 transmissions both in good shape.\nFreshly machined OEM flywheel\n1 good driveshaft\nOne e30 steering rack\n\nTons of spare and new parts:\nNew 80A motor and Trans mounts.\nNew 6 puck clutch\nShifter parts\nFull Elring head gasket and upper gasket set with head bolts.\nIreland Engineering M20 windage tray.\nIreland Engineering oil pan baffle\nNew gates blue racing timing belt.\nNew water pump.\nHeater core block off plate for back of head and thermostat housing.\nNew thermostat\nNew Water temp sensors\nProbably some other stuff I'm forgetting.\n\n\nTags\nLexus, Toyota, 2JZ, Honda, Acura, BMW, JDM, Audi, Mercedes, Supra, Boost, drift, track, wheels, autocross, daily driver, cheap, SE30"
dothan,https://okaloosa.craigslist.org/cto/d/1991-bmw-m5-great-car/6479506942.html,6 cylinder engine Manual transmission Original engine and transmission numbers matching with Headers Straight back Supersprint Exhaust self level is deleted Bilstein Shocks H&R Factory installed K40 radar Detector springs Power windows.
dothan,https://okaloosa.craigslist.org/cto/d/1981-bmw-320i-e21/6483882172.html,"I searched for nearly a year before finding a car that I thought I could restore and drive for the rest of my life and maybe even pass along. But life happens and I need to move on. It has about 180,000 miles, is driven every day to Eglin and back. Never let me down. I bought it three years ago from the second owner. It needed some maintenance, but looked great. So I bought it and changed all the maintenance usuals - hoses, belts, thermostat, oxygen sensor, fuel filter, plugs, wires, distributor cap and rotor. Then changed out the radiator, replaced the dashboard lights that were out, changed out the old radio and couple of speakers. Bought a sport steering wheel, got a used turn signal stalk so the brights would work, cleaned the grounds and changed bulbs so the lights would work, changed some gaskets and fuses, in other words got it daily driver ready. And for three years I have driven it.\n\nLast summer I did the whole front end - H&R springs, Sachs shocks and struts, new control arms, tie rods, bushings, calipers, rotors, pads, hoses. Ran out of time to get the back done. It drives much better now. Go kart like. Brand new tires about two months ago and the alignment helped too. I have a huge box with more parts that I have collected - wheel bearings, A/C stuff, shifter stuff, hoses, water pump, and more that goes with it. I think I've gotten it to the point where someone can come in and finish what I've started. I also have the factory service manual, though You Tube videos are the better route IMO.\n\nLet's talk about rust. It's originally a California car, but it does have some - bottom of the doors where I guess a drain hole might have been plugged, in the trunk. To tackle that, I have POR-15, their epoxy and mat fiber, spray of the correct color, and clear. But my thought was first do the mechanicals. It looks good now, but that's on next summer's list if I still have it.\n\nInterior's pretty good for it's age. Seats are great except the driver's has split. I have foam to rebuild the base and was going to get new skins, but you can do that. Dash is cracked like almost every other 80's car. A/C is all there and I have o rings and a receiver dryer. As I said, next summer's list. This was a long term, hold until car for me. Just don't have the time or money to keep it right now. If I win the lottery, that will certainly change.\n\nI would consider trades, (maybe I can talk my wife into something interesting - Miata, Mini Cooper, other old BMW, VW and the like) yeah I know, but I can dream, and I'll listen politely to offers. You can have a different idea of what it's worth. I have mine. And I know you never get back what you put into it. Total the cost of the parts already on it and the ones that go with it. I think the price is fair. But be polite and I'll listen.\n\nBut no, I don't need help selling it and I'm not shipping it to Dubai or wherever. Any questions, I'll try to answer."
dothan,https://tallahassee.craigslist.org/cto/d/bmw/6459152427.html,"1974 BMW 2002 ,WITH 48000 MILES ,STRONG ENGINE 4 .NEEDS PAINT JOB AND MINOR COSMETICS. APPRECIATING COLLECTABLE CLASSIC CAR. SEE NADA.COM FOR TRUE VALUE OF THIS CLASSIC.SERIOUS INQUIRIES ONLY PLEASE. THANKS\n\nContact Rick for additional information show contact info"
florence_/_muscle_shoals,https://huntsville.craigslist.org/cto/d/1975-bmw-2002/6480918035.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
